ratio = 3.6031101751577146, flow_size = 1.035215MB
ratio = 3.4657974459848946, flow_size = 1.530164MB
ratio = 6.9157175443138135, flow_size = 0.133136MB
ratio = 4.617645141987048, flow_size = 0.002333MB
ratio = 4.95346872634578, flow_size = 0.009491MB
ratio = 2.921704128820851, flow_size = 13.519651MB
ratio = 2.385587309650167, flow_size = 0.03967MB
ratio = 3.8199094443624193, flow_size = 0.04112MB
ratio = 3.686697922086112, flow_size = 0.028166MB
ratio = 2.171265773987475, flow_size = 0.052014MB
ratio = 3.3547748975464313, flow_size = 0.036755MB
ratio = 5.033733574387977, flow_size = 0.069182MB
ratio = 3.7917719050795076, flow_size = 1.013928MB
ratio = 3.0257235645750273, flow_size = 0.024997MB
ratio = 4.552798658063925, flow_size = 0.423882MB
ratio = 3.3491212192535067, flow_size = 0.035039MB
ratio = 5.83458182620799, flow_size = 1.162989MB
ratio = 5.082177958780698, flow_size = 0.00445MB
ratio = 4.957954276991295, flow_size = 1.050054MB
ratio = 5.09021584517802, flow_size = 0.140725MB
ratio = 4.357372486646793, flow_size = 0.274546MB
ratio = 4.814248931301501, flow_size = 0.412288MB
ratio = 6.811198788161691, flow_size = 1.057182MB
ratio = 6.108669002449118, flow_size = 5.884371MB
ratio = 6.56437204414083, flow_size = 0.498083MB
ratio = 6.436570908114993, flow_size = 0.678555MB
ratio = 4.993865503232165, flow_size = 0.001591MB
ratio = 7.9466256840026706, flow_size = 0.197414MB
ratio = 5.603877688742338, flow_size = 2.681703MB
ratio = 3.8736128382779653, flow_size = 0.008569MB
ratio = 3.8472842922236756, flow_size = 0.187039MB
ratio = 4.16861690525344, flow_size = 7.226228MB
ratio = 4.5299482310813755, flow_size = 0.074635MB
ratio = 2.9708449460255153, flow_size = 0.077516MB
ratio = 6.582492984874706, flow_size = 0.122728MB
ratio = 4.241472259180153, flow_size = 0.007921MB
ratio = 5.866846619665784, flow_size = 0.013053MB
ratio = 4.169978130196614, flow_size = 9.089854MB
ratio = 3.240037958753534, flow_size = 1.912581MB
ratio = 3.113473866861294, flow_size = 2.124914MB
ratio = 5.683499607367219, flow_size = 1.289834MB
ratio = 5.387331518583115, flow_size = 0.021212MB
ratio = 2.7010207875546146, flow_size = 0.049686MB
ratio = 2.9909763820461017, flow_size = 0.037782MB
ratio = 2.691612351010305, flow_size = 2.109274MB
ratio = 2.6857969675230717, flow_size = 0.67579MB
ratio = 5.496152736649378, flow_size = 0.07949MB
ratio = 3.3019495939567474, flow_size = 0.128685MB
ratio = 2.352969141282994, flow_size = 6.489466MB
ratio = 2.9617196177539866, flow_size = 0.111572MB
ratio = 5.344427047264437, flow_size = 0.134687MB
ratio = 4.426564451044103, flow_size = 3.674947MB
ratio = 3.3898275333291914, flow_size = 0.018481MB
ratio = 3.453596205268276, flow_size = 0.176742MB
ratio = 2.579612383688487, flow_size = 0.021475MB
ratio = 4.706904838429081, flow_size = 0.058634MB
ratio = 3.308884424987538, flow_size = 0.006731MB
ratio = 6.143792256201031, flow_size = 0.006136MB
ratio = 4.602544581313648, flow_size = 1.334056MB
ratio = 5.252567174250893, flow_size = 1.922248MB
ratio = 3.0758910320002126, flow_size = 0.030852MB
ratio = 3.2608077086970266, flow_size = 0.071378MB
ratio = 3.899003876278418, flow_size = 0.025423MB
ratio = 4.865341015046081, flow_size = 0.075979MB
ratio = 4.269230455572258, flow_size = 1.086592MB
ratio = 4.352159804357568, flow_size = 1.843082MB
ratio = 3.645574653668548, flow_size = 0.011684MB
ratio = 3.1664798536433003, flow_size = 1.288763MB
ratio = 7.04311081989551, flow_size = 1.648757MB
ratio = 5.603354895534738, flow_size = 0.00272MB
ratio = 3.4173537984435263, flow_size = 0.077133MB
ratio = 4.07427868336465, flow_size = 0.428536MB
ratio = 2.3032106089316025, flow_size = 4.723867MB
ratio = 2.8454076640204544, flow_size = 0.015182MB
ratio = 2.0423655201521225, flow_size = 1.064446MB
ratio = 4.872314142750232, flow_size = 1.837124MB
ratio = 5.208810069213527, flow_size = 0.029499MB
ratio = 3.4869715856112284, flow_size = 0.075731MB
ratio = 2.8478349653150703, flow_size = 0.072725MB
ratio = 2.6707877224400796, flow_size = 0.351435MB
ratio = 3.260708910613947, flow_size = 0.025001MB
ratio = 5.771380243038853, flow_size = 0.023699MB
ratio = 4.147753738510354, flow_size = 0.019976MB
ratio = 2.6865601393985066, flow_size = 1.709468MB
ratio = 2.073076136188991, flow_size = 0.107962MB
ratio = 5.404147861065086, flow_size = 0.02439MB
ratio = 3.1895543152997647, flow_size = 1.957765MB
ratio = 6.119514715510645, flow_size = 0.019895MB
ratio = 3.455449032916638, flow_size = 0.44925MB
ratio = 4.4254422041431365, flow_size = 0.002498MB
ratio = 4.166370961018836, flow_size = 0.084619MB
ratio = 4.530060856303605, flow_size = 0.084864MB
