ratio = 107.00602126660118, flow_size = 0.180025MB
ratio = 6.9656764351666, flow_size = 0.485148MB
ratio = 10.08651115015204, flow_size = 3.709467MB
ratio = 33.09551679935232, flow_size = 0.607921MB
ratio = 4.408858246318522, flow_size = 7.411782MB
ratio = 369.6164465071998, flow_size = 0.000997MB
ratio = 40.53817733990148, flow_size = 0.007276MB
ratio = 5.212287619418758, flow_size = 7.91983MB
ratio = 62.51170151544216, flow_size = 0.025079MB
ratio = 4.42677252742562, flow_size = 0.459606MB
ratio = 75.87569543792719, flow_size = 0.025392MB
ratio = 2.960829045313596, flow_size = 1.312389MB
ratio = 130.5853331845072, flow_size = 0.007605MB
ratio = 125.12981020372628, flow_size = 0.037751MB
ratio = 7.274346715567489, flow_size = 0.13249MB
ratio = 79.73782098700201, flow_size = 0.013621MB
ratio = 24.763925523661754, flow_size = 0.054488MB
ratio = 77.53084482616237, flow_size = 0.045166MB
ratio = 21.61744966442953, flow_size = 0.442803MB
ratio = 174.63247106875426, flow_size = 0.075988MB
ratio = 10.264193375111907, flow_size = 4.896893MB
ratio = 5.521382274504389, flow_size = 1.282756MB
ratio = 272.7770540029418, flow_size = 0.071018MB
ratio = 2.414335539896078, flow_size = 0.068304MB
ratio = 14.52900084674005, flow_size = 0.013431MB
ratio = 25.82547132910897, flow_size = 0.053197MB
ratio = 2.0094006726581024, flow_size = 1.198728MB
ratio = 9.500849762066622, flow_size = 0.020545MB
ratio = 3.90883065404096, flow_size = 0.009055MB
ratio = 9.149424179636679, flow_size = 0.890892MB
ratio = 18.205397378452915, flow_size = 1.756137MB
ratio = 98.16612780524915, flow_size = 0.026155MB
ratio = 5.968069401665786, flow_size = 9.063005MB
ratio = 7.396675837184351, flow_size = 1.890729MB
ratio = 52.66141170878555, flow_size = 0.051296MB
ratio = 27.0339025869038, flow_size = 0.136835MB
ratio = 75.03485732814526, flow_size = 0.047908MB
ratio = 87.7669821492752, flow_size = 0.000296MB
ratio = 171.28483365062098, flow_size = 0.163907MB
ratio = 2.0684165414488582, flow_size = 2.155066MB
ratio = 26.032356465845954, flow_size = 0.010221MB
ratio = 5.987511432211479, flow_size = 8.909916MB
ratio = 40.050377833753146, flow_size = 0.080688MB
ratio = 134.41590030654405, flow_size = 0.079737MB
ratio = 234.7494286307916, flow_size = 0.015566MB
ratio = 92.7139339777494, flow_size = 0.031539MB
ratio = 130.8512013309019, flow_size = 0.273561MB
ratio = 2.679584728488091, flow_size = 3.847377MB
ratio = 76.29810671256455, flow_size = 0.004703MB
ratio = 66.3727952589248, flow_size = 0.069826MB
ratio = 34.849293144838626, flow_size = 0.079619MB
ratio = 2.5279381088360977, flow_size = 0.489699MB
